name,latitude_deg,longitude_deg,iata_code
Branson Airport,36.532082,-93.200544,BKG
Baca Grande Airfield,37.96477778,-105.7766667,BCJ
Willmar Municipal -John L Rice Field,45.11769867,-95.13040161,ILL
Bellows AFS (Bellows Field),21.370833,-157.713889,BLW
Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146,BNF
Bolling Air Force Base,38.84289932,-77.01609802,BOF
Brookings Airport,42.0746,-124.290001,BOK
Bartlett Cove Seaplane Base,58.4552002,-135.8849945,BQV
Whitesburg Municipal Airport,37.2219,-82.8742,BRG
Boundary Airport,64.07830048,-141.1130066,BYA
Buzzards Point Seaplane Base,38.863,-77.011,BZS
Craig Seaplane Base,55.47880173,-133.147995,CGA
Circle Hot Springs Airport,65.48549652,-144.6109924,CHP
Chomley Seaplane Base,55.217,-132.21,CIV
Crooked Creek Airport,61.86790085,-158.1349945,CKD
Crane Island Airstrip,48.5978,-122.9979,CKR
Cordova Municipal Airport,60.54389954,-145.727005,CKU
Chicken Airport,64.07129669,-141.9519959,CKX
Clear Lake Metroport,29.5555,-95.1383,CLC
Coalinga Airport,36.15804334,-120.360117,CLG
Rentschler Heliport,41.7517,-72.6253,EHT
Hollister Municipal Airport,36.8932991,-121.4100037,HLI
Hughes Airport,33.975,-118.417,CVR
Chitina Airport,61.582901,-144.427002,CXC
Chatham Seaplane Base,57.51490021,-134.9459991,CYM
Cascade Locks State Airport,45.67689896,-121.8789978,CZK
Chisana Airport,62.07120132,-142.0480042,CZN
Chistochina Airport,62.56349945,-144.6690063,CZO
Delta Junction Airport,64.05039978,-145.7169952,DJN
Dahl Creek Airport,66.94329834,-156.9049988,DCK
Decatur HI-Way Airfield,40.837548,-84.862464,DCR
Deer Harbor SPB,48.61666667,-123.0027778,DHB
Deer Park Airport,40.76,-73.31,DPK
Lake Buena Vista STOLport,28.39944444,-81.57127778,DWS
Edna Bay Seaplane Base,55.949653,-133.661012,EDA
Birchwood-Pocono Airport,41.0643,-75.2521,ESP
Excursion Inlet Seaplane Base,58.420502,-135.449005,EXI
Ranger Municipal Airport,32.45259857,-98.68280029,RGR
Falcon State Airport,26.5856,-99.13985,FAL
Francis E Warren Air Force Base,41.13330078,-104.8669968,FEW
Fort Lee Army Airfield,37.284,-77.3448,FLE
Flat Airport,62.45259857,-157.9889984,FLT
Haley Army Airfield,42.221,-87.817,FSN
Flaxman Island Airstrip,70.1895,-146.0209,FXM
Gabbs Airport,38.92409897,-117.9589996,GAB
Pope Field,39.79029846,-85.73609924,GFD
Goodnews Airport,59.11740112,-161.5769959,GNU
Granite Mountain Air Station,65.40209961,-161.2810059,GMT
Gordonsville Municipal Airport,38.15599823,-78.165802,GVE
Haycock Airport,65.2009964,-161.1569977,HAY
Hanchey Army (Fort Rucker) Heliport,31.34600067,-85.65429688,HEY
Tusi AHP (Hunter Liggett) Heliport,35.99349976,-121.2369995,HGT
Princeville Airport,22.20919991,-159.4459991,HPV
Waikoloa Heliport,19.9205,-155.8607,WKL
Healy Lake Airport,63.9958,-144.6926,HKB
Tahneta Pass Airport,61.90140152,-147.3040009,HNE
Hoppe Airspray,42.257036,-92.835475,HOP
Hollis Clark Bay Seaplane Base,55.48160172,-132.6459961,HYL
Ivishak Airport,69.4066,-148.2881,IVH
Quartz Creek Airport,60.48270035,-149.7189941,JLA
Pan Am Building Heliport,40.7533,-73.9765,JPB
Pentagon Army Heliport,38.87409973,-77.05750275,JPN
West 30th St. Heliport,40.754501,-74.007103,JRA
Downtown-Manhattan/Wall St Heliport,40.70119858,-74.00900269,JRB
Animas Air Park,37.20320129,-107.8690033,AMK
Broadus Airport,45.47249985,-105.4540024,BDX
Eureka Airport,39.60419846,-116.0049973,EUE
Jackpot Airport/Hayden Field,41.97600174,-114.6579971,KPT
Rolla Downtown Airport,37.93569946,-91.81349945,RLA
Elizabeth Field,41.25130081,-72.03160095,FID
Humboldt Municipal Airport,42.73609924,-94.24520111,HUD
Jefferson County International Airport,48.05379868,-122.810997,TWD
Columbia County Airport,42.29130173,-73.71029663,HCC
Ardmore Downtown Executive Airport,34.14699936,-97.12270355,AHD
Grand Canyon West Airport,35.99039841,-113.8160019,GCW
Lampson Field,38.99060059,-122.901001,CKE
Montague-Yreka Rohrer Field,41.73040009,-122.5459976,ROF
Fremont County Airport,38.4280014,-105.1060028,CNE
Rouses Point Seaplane Base,44.99169922,-73.3635025,RSX
Cooperstown-Westville Airport,42.62919998,-74.89099884,COP
Council Airport,64.89790344,-163.7030029,CIL
Iraan Municipal Airport,30.90570068,-101.8919983,IRB
Gansner Field,39.94390106,-120.9449997,GNF
Chiloquin State Airport,42.57944049,-121.8790627,CHZ
St. Mary's County Regional Airport,38.31539917,-76.55010223,LTW
Arapahoe Municipal Airport,40.33950043,-99.90650177,AHF
Princeton Airport,40.39920044,-74.6588974,PCT
Calverton Executive Airpark,40.9151001,-72.79190063,CTO
Grand Lake Regional Airport,36.57759857,-94.86190033,NRI
Grants Pass Airport,42.510101,-123.388,GTP
Jerry Tyler Memorial Airport,41.83589935,-86.22519684,NLE
Grand Coulee Dam Airport,47.92200089,-119.0830002,GCD
Valle Airport,35.65060043,-112.1480026,VLE
Perry-Foley Airport,30.0692997,-83.58059692,FPY
Manti-Ephraim Airport,39.32910156,-111.6149979,NTJ
Salina Gunnison Airport,39.02909851,-111.8379974,SBO
Central Jersey Regional Airport,40.5243988,-74.5983963,JVI
Eunice Airport,30.46629906,-92.42379761,UCE
Gold Beach Municipal Airport,42.41339874,-124.4240036,GOL
Kentland Municipal Airport,40.75870132,-87.42819977,KKT
Prentice Airport,45.542999,-90.279297,PRW
Maverick County Memorial International Airport,28.85720062,-100.512001,EGP
Boulder City Municipal Airport,35.94749832,-114.8610001,BLD
Mesquite Airport,36.83499908,-114.0550003,MFH
Iosco County Airport,44.312801,-83.422302,ECA
Florence Municipal Airport,43.98279953,-124.1110001,FMU
Anacortes Airport,48.499,-122.662003,OTS
Roosevelt Municipal Airport,40.278301,-110.051003,ROL
Canton Municipal Airport,43.308899,-96.570999,CTK
North Fork Valley Airport,38.83169937,-107.6460037,WPO
Antlers Municipal Airport,34.19260025,-95.64990234,ATE
Wilgrove Air Park,35.21379852,-80.67009735,QWG
Austin Airport,39.4679985,-117.1949997,ASQ
Apalachicola Regional Airport,29.72750092,-85.02749634,AAF
Andrau Airpark,29.72249985,-95.58830261,AAP
Lehigh Valley International Airport,40.65209961,-75.44080353,ABE
Abilene Regional Airport,32.41130066,-99.68190002,ABI
Albuquerque International Sunport Airport,35.040199,-106.609001,ABQ
Aberdeen Regional Airport,45.44910049,-98.42179871,ABR
Southwest Georgia Regional Airport,31.53549957,-84.19450378,ABY
Antrim County Airport,44.988602,-85.198402,ACB
Nantucket Memorial Airport,41.25310135,-70.06020355,ACK
Waco Regional Airport,31.61129951,-97.23049927,ACT
California Redwood Coast-Humboldt County Airport,40.978101,-124.109,ACV
Atlantic City International Airport,39.45759964,-74.57720184,ACY
Lenawee County Airport,41.86769867,-84.07730103,ADG
Ada Regional Airport,34.804298,-96.671303,ADT
Ardmore Municipal Airport,34.30301,-97.0196342,ADM
Addison Airport,32.96860123,-96.83640289,ADS
Andrews Air Force Base,38.810799,-76.866997,ADW
Kake Seaplane Base,56.97299957,-133.9459991,KAE
Albert Lea Municipal Airport,43.68149948,-93.36720276,AEL
Alexandria International Airport,31.32740021,-92.54979706,AEX
USAF Academy Airfield,38.96969986,-104.8130035,AFF
Washington County Airport,40.13650131,-80.29019928,WSG
Jaffrey Airport Silver Ranch Airport,42.80509949,-72.00299835,AFN
Afton Municipal Airport,42.71120071,-110.9420013,AFO
Fort Worth Alliance Airport,32.98759842,-97.31880188,AFW
Allegheny County Airport,40.35440063,-79.93019867,AGC
Magnolia Municipal Airport,33.22800064,-93.21700287,AGO
Augusta Regional At Bush Field,33.36989975,-81.96450043,AGS
Amedee Army Air Field,40.26620102,-120.1529999,AHC
Amery Municipal Airport,45.28110123,-92.37539673,AHH
Athens Ben Epps Airport,33.94860077,-83.32630157,AHN
Alliance Municipal Airport,42.05319977,-102.8040009,AIA
Anderson Municipal Darlington Field,40.10860062,-85.61299896,AID
Aiken Municipal Airport,33.6493988,-81.68499756,AIK
Atlantic Municipal Airport,41.40729904,-95.04689789,AIO
George Downer Airport,33.106499,-88.1978,AIV
Atlantic City Municipal Bader Field,39.36000061,-74.45610046,AIY
Lee C Fine Memorial Airport,38.09600067,-92.54949951,AIZ
Colorado Plains Regional Airport,40.17559814,-103.2220001,AKO
Akron Fulton International Airport,41.03749847,-81.46690369,AKC
Albany International Airport,42.74829865,-73.80169678,ALB
Alice International Airport,27.74090004,-98.02690125,ALI
Alamogordo White Sands Regional Airport,32.83990097,-105.9909973,ALM
St Louis Regional Airport,38.89030075,-90.04599762,ALN
Waterloo Regional Airport,42.55709839,-92.40029907,ALO
San Luis Valley Regional Bergman Field,37.434898,-105.866997,ALS
Walla Walla Regional Airport,46.09489822,-118.288002,ALW
Thomas C Russell Field,32.91469955,-85.96299744,ALX
Rick Husband Amarillo International Airport,35.219398,-101.706001,AMA
Gratiot Community Airport,43.32210159,-84.68800354,AMN
Ames Municipal Airport,41.992001,-93.621803,AMW
Anniston Metropolitan Airport,33.58819962,-85.85810089,ANB
Anderson Regional Airport,34.49459839,-82.70939636,AND
Harriet Alexander Field,38.53829956,-106.0490036,SLT
Lee Airport,38.942902,-76.568398,ANP
Tri State Steuben County Airport,41.639702,-85.083504,ANQ
Ainsworth Municipal Airport,42.579201,-99.992996,ANW
Anthony Municipal Airport,37.158501,-98.079597,ANY
Lima Allen County Airport,40.706902,-84.026703,AOH
Altoona Blair County Airport,40.29639816,-78.31999969,AOO
Centennial Airport,39.57009888,-104.848999,APA
Napa County Airport,38.2132,-122.280998,APC
Naples Municipal Airport,26.15259933,-81.77529907,APF
Phillips Army Air Field,39.466202,-76.1688,APG
A P Hill AAF (Fort A P Hill) Airport,38.068902,-77.318298,APH
Alpena County Regional Airport,45.0780983,-83.56030273,APN
Marion County Brown Field,35.060699,-85.585297,APT
Apple Valley Airport,34.57529831,-117.185997,APV
Acadiana Regional Airport,30.0378,-91.883904,ARA
Ann Arbor Municipal Airport,42.22299957,-83.74559784,ARB
Walnut Ridge Regional Airport,36.124667,-90.925111,ARG
Wharton Regional Airport,29.25429916,-96.15440369,WHT
Aurora Municipal Airport,41.77190018,-88.47570038,AUZ
Watertown International Airport,43.9919014,-76.021698,ART
Lakeland-Noble F. Lee Memorial field,45.92789841,-89.73090363,ARV
Beaufort County Airport,32.41220093,-80.63439941,BFT
Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,ASE
Springdale Municipal Airport,36.17639923,-94.11930084,SPZ
Boire Field,42.78170013,-71.51480103,ASH
Harrison County Airport,32.52050018,-94.30780029,ASL
Talladega Municipal Airport,33.56990051,-86.05090332,ASN
Astoria Regional Airport,46.15800095,-123.8789978,AST
John F Kennedy Memorial Airport,46.54850006,-90.91899872,ASX
Ashley Municipal Airport,46.02389908,-99.3526001,ASY
Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,ATL
Artesia Municipal Airport,32.85250092,-104.4680023,ATS
Appleton International Airport,44.2580986,-88.51909637,ATW
Watertown Regional Airport,44.91400146,-97.15470123,ATY
Augusta State Airport,44.3205986,-69.79730225,AUG
Austin Municipal Airport,43.66500092,-92.93340302,AUM
Auburn Municipal Airport,38.95479965,-121.0820007,AUN
Auburn Opelika Robert G. Pitts Airport,32.61510086,-85.43399811,AUO
Austin Bergstrom International Airport,30.19449997,-97.66989899,AUS
Wausau Downtown Airport,44.92620087,-89.62660217,AUW
Asheville Regional Airport,35.43619919,-82.54180145,AVL
Avon Park Executive Airport,27.59119987,-81.52780151,AVO
Wilkes Barre Scranton International Airport,41.33850098,-75.7233963,AVP
Marana Regional Airport,32.4095993,-111.2180023,AVW
Catalina Airport,33.4049,-118.416,AVX
West Memphis Municipal Airport,35.13510132,-90.23439789,AWM
Algona Municipal Airport,43.07789993,-94.27200317,AXG
Chandler Field,45.86629868,-95.3946991,AXN
Altus Quartz Mountain Regional Airport,34.697952,-99.3385,AXS
Neil Armstrong Airport,40.49340057,-84.29889679,AXV
Angel Fire Airport,36.42200089,-105.2900009,AXX
Ft Devens Moore Army Air Field,42.56999969,-71.60279846,AYE
Waycross Ware County Airport,31.24909973,-82.39550018,AYS
Arnold Air Force Base,35.39260101,-86.08580017,TUH
Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,AZO
Beale Air Force Base,39.13610077,-121.4369965,BAB
Barksdale Air Force Base,32.50180054,-93.66269684,BAD
Westfield-Barnes Regional Airport,42.157799,-72.715599,BAF
Columbus Municipal Airport,39.26190186,-85.89630127,CLU
Battle Mountain Airport,40.59899902,-116.8740005,BAM
Benson Municipal Airport,45.33190155,-95.65059662,BBB
Curtis Field,31.17930031,-99.32389832,BBD
Marlboro County Jetport H.E. Avent Field,34.62170029,-79.73439789,BTN
Broken Bow Municipal Airport,41.43650055,-99.64219666,BBW
Virginia Tech Montgomery Executive Airport,37.20759964,-80.40779877,BCB
Bryce Canyon Airport,37.70640183,-112.1449966,BCE
Boca Raton Airport,26.37849998,-80.10769653,BCT
Baudette International Airport,48.72840118,-94.61219788,BDE
Blanding Municipal Airport,37.58330154,-109.4830017,BDG
Bradley International Airport,41.93889999,-72.68319702,BDL
Igor I Sikorsky Memorial Airport,41.16350174,-73.12619781,BDR
Boulder Municipal Airport,40.03939819,-105.2259979,WBU
Bell Island Hot Springs Seaplane Base,55.92910004,-131.5720062,KBE
Beech Factory Airport,37.69449997,-97.21499634,BEC
Laurence G Hanscom Field,42.47000122,-71.28900146,BED
Southwest Michigan Regional Airport,42.12860107,-86.42849731,BEH
Bradford Regional Airport,41.80310059,-78.64009857,BFD
Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,BFF
Boeing Field King County International Airport,47.52999878,-122.302002,BFI
Meadows Field,35.43360138,-119.0569992,BFL
Mobile Downtown Airport,30.62680054,-88.06809998,BFM
Virgil I Grissom Municipal Airport,38.84000015,-86.44539642,BFR
Hutchinson County Airport,35.70090103,-101.3939972,BGD
Decatur County Industrial Air Park,30.9715004,-84.63739777,BGE
Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,BGM
Bangor International Airport,44.80739975,-68.82810211,BGR
Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,BHB
Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,BHM
Block Island State Airport,41.16809845,-71.57779694,BID
Beatrice Municipal Airport,40.30130005,-96.75409698,BIE
Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,BIF
Eastern Sierra Regional Airport,37.37310028,-118.3639984,BIH
Billings Logan International Airport,45.80770111,-108.5429993,BIL
Bismarck Municipal Airport,46.77270126,-100.7460022,BIS
Keesler Air Force Base,30.41040039,-88.92440033,BIX
Rocky Mountain Metropolitan Airport,39.90879822,-105.1169968,BJC
Bemidji Regional Airport,47.50939941,-94.93370056,BJI
Wayne County Airport,40.87480164,-81.88829803,BJJ
Stephens County Airport,32.71900177,-98.89099884,BKD
Baker City Municipal Airport,44.83729935,-117.8089981,BKE
Buckley Air Force Base,39.7016983,-104.7519989,BFK
Burke Lakefront Airport,41.51750183,-81.6832962,BKL
Allen C Perkinson Blackstone Army Air Field,37.07419968,-77.95749664,BKT
Raleigh County Memorial Airport,37.78730011,-81.12419891,BKW
Brookings Regional Airport,44.30479813,-96.81690216,BKX
Mercer County Airport,37.29579926,-81.20770264,BLF
Blythe Airport,33.61920166,-114.7170029,BLH
Bellingham International Airport,48.7928009,-122.538002,BLI
Monmouth Executive Airport,40.18690109,-74.12490082,BLM
Blue Canyon Nyack Airport,39.27500153,-120.7099991,BLU
Scott AFB/Midamerica Airport,38.5452,-89.835197,BLV
Brigham City Regional Airport,41.552399,-112.061996,BMC
Monroe County Airport,39.14599991,-86.61669922,BMG
Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,BMI
Berlin Regional Airport,44.57540131,-71.17590332,BML
Beaumont Municipal Airport,30.07069969,-94.21579742,BMT
Nashville International Airport,36.12450027,-86.67819977,BNA
Banning Municipal Airport,33.92309952,-116.8509979,BNG
Barnwell Regional Airport,33.25780106,-81.38829803,BNL
Burns Municipal Airport,43.59189987,-118.9550018,BNO
Boone Municipal Airport,42.04959869,-93.84760284,BNW
Boise Air Terminal/Gowen field,43.56439972,-116.2229996,BOI
General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,BOS
Bartow Municipal Airport,27.94339943,-81.78340149,BOW
Big Spring Mc Mahon-Wrinkle Airport,32.212601,-101.522003,HCA
Miley Memorial Field,42.58509827,-110.1110001,BPI
Ozark Regional Airport,36.3689003,-92.47049713,WMH
Southeast Texas Regional Airport,29.95079994,-94.02069855,BPT
Brunswick Golden Isles Airport,31.25880051,-81.46649933,BQK
Brainerd Lakes Regional Airport,46.39830017,-94.13809967,BRD
Southeast Iowa Regional Airport,40.78319931,-91.12550354,BRL
Brownsville South Padre Island International Airport,25.90679932,-97.42590332,BRO
Samuels Field,37.81430054,-85.49960327,BRY
Skypark Airport,40.86940002,-111.927002,BTF
W K Kellogg Airport,42.30730057,-85.25150299,BTL
Bert Mooney Airport,45.95479965,-112.4970016,BTM
Britton Municipal Airport,45.81520081,-97.74310303,TTO
Pittsburgh/Butler Regional Airport,40.776901,-79.949699,BTP
"Baton Rouge Metropolitan, Ryan Field",30.53319931,-91.14959717,BTR
Burlington International Airport,44.47190094,-73.15329742,BTV
Beatty Airport,36.86109924,-116.7870026,BTY
Cram Field,41.77669907,-99.14969635,BUB
Buffalo Niagara International Airport,42.94049835,-78.73220062,BUF
Butler Memorial Airport,38.28979874,-94.34010315,BUM
Bob Hope Airport,34.20069885,-118.3590012,BUR
Beaver County Airport,40.77249908,-80.3914032,BFP
Bartlesville Municipal Airport,36.76250076,-96.01119995,BVO
Skagit Regional Airport,48.47090149,-122.4209976,MVW
Batesville Regional Airport,35.7262001,-91.64730072,BVX
Beverly Municipal Airport,42.58420181,-70.91649628,BVY
Brawley Municipal Airport,32.99290085,-115.5169983,BWC
Brownwood Regional Airport,31.79360008,-98.95649719,BWD
Bowling Green Warren County Regional Airport,36.96450043,-86.41970062,BWG
Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,BWI
Harry Stern Airport,46.24409866,-96.60739899,WAH
Bowman Regional Airport,46.1655193,-103.30075,BWM
George R Carr Memorial Air Field,30.81369972,-89.86499786,BXA
Buckeye Municipal Airport,33.42039871,-112.685997,BXK
Johnson County Airport,44.3810997,-106.7220001,BYG
Arkansas International Airport,35.96429825,-89.94400024,BYH
Burley Municipal Airport,42.54259872,-113.7720032,BYI
Bicycle Lake Army Air Field,35.2804985,-116.6299973,BYS
Bay City Municipal Airport,28.97330093,-95.8635025,BBC
Gallatin Field,45.77750015,-111.1529999,BZN
Grand Geneva Resort Airport,42.614899,-88.389603,XES
Plymouth Municipal Airport,41.36510086,-86.30049896,PLY
New Coalinga Municipal Airport,36.1631012,-120.2939987,CLG
Wexford County Airport,44.27529907,-85.41889954,CAD
Columbia Metropolitan Airport,33.93880081,-81.11949921,CAE
Craig Moffat Airport,40.49520111,-107.5220032,CIG
Akron Canton Regional Airport,40.91609955,-81.44219971,CAK
Clayton Municipal Airpark,36.44620132,-103.1669998,CAO
Caribou Municipal Airport,46.87149811,-68.01789856,CAR
Greater Cumberland Regional Airport,39.61539841,-78.7609024,CBE
Council Bluffs Municipal Airport,41.25920105,-95.76059723,CBF
Shalz Field,39.42750168,-101.0469971,CBK
Columbus Air Force Base,33.64379883,-88.44380188,CBM
Coffman Cove Seaplane Base,56.00320053,-132.8419952,KCC
Cable Airport,34.11159897,-117.6880035,CCB
Buchanan Field,37.98970032,-122.0569992,CCR
Northeast Iowa Regional Airport,43.07260132,-92.6108017,CCY
Caledonia County Airport,44.56909943,-72.01799774,LLX
Cedar City Regional Airport,37.70100021,-113.098999,CDC
Harrell Field,33.62279892,-92.76339722,CDH
Woodward Field,34.28359985,-80.56490326,CDN
Chadron Municipal Airport,42.83760071,-103.0950012,CDR
Childress Municipal Airport,34.43379974,-100.288002,CDS
Essex County Airport,40.87519836,-74.28140259,CDW
Cessna Aircraft Field,37.64860153,-97.25060272,CEA
Jack Mc Namara Field Airport,41.78020096,-124.2369995,CEC
Westover ARB/Metropolitan Airport,42.19400024,-72.53479767,CEF
Oconee County Regional Airport,34.6719017,-82.8864975,CEU
Mettel Field,39.69850159,-85.12969971,CEV
Bob Sikes Airport,30.77879906,-86.52210236,CEW
Kyle Oakley Field,36.66460037,-88.37280273,CEY
Cortez Municipal Airport,37.3030014,-108.6279984,CEZ
Coulter Field,30.71570015,-96.33139801,CFD
Tuscola Area Airport,43.45880127,-83.44550323,TZC
Greenlee County Airport,32.95280075,-109.2099991,CFT
Coffeyville Municipal Airport,37.09400177,-95.57189941,CFV
Chignik Fisheries Airport,56.317643,-158.589706,KCG
Cambridge Dorchester Airport,38.53929901,-76.03040314,CGE
Cuyahoga County Airport,41.56510162,-81.48639679,CGF
Cape Girardeau Regional Airport,37.22529984,-89.57080078,CGI
College Park Airport,38.98059845,-76.92230225,CGS
Chicago Meigs Airport,41.85879898,-87.60790253,CGX
Casa Grande Municipal Airport,32.954899,-111.766998,CGZ
Lovell Field,35.03530121,-85.20379639,CHA
Chickasha Municipal Airport,35.09740067,-97.96769714,CHK
Charlottesville Albemarle Airport,38.1385994,-78.45290375,CHO
Charleston Air Force Base-International Airport,32.89860153,-80.04049683,CHS
Chico Municipal Airport,39.79539871,-121.8580017,CIC
The Eastern Iowa Airport,41.88470078,-91.71080017,CID
Arthur N Neu Airport,42.0461998,-94.78900146,CIN
Cairo Regional Airport,37.0644989,-89.21959686,CIR
Chippewa County International Airport,46.25080109,-84.47239685,CIU
Kegelman AF Aux Field,36.7439003,-98.12310028,CKA
North Central West Virginia Airport,39.29660034,-80.22810364,CKB
Grand Marais Cook County Airport,47.8382988,-90.38289642,GRM
Fletcher Field,34.29970169,-90.51229858,CKM
Crookston Municipal Kirkwood Field,47.84170151,-96.62159729,CKN
Clarksvilleâ€“Montgomery County Regional Airport,36.62189865,-87.41500092,CKV
Chignik Lagoon Airport,56.31119919,-158.5359955,KCL
Cleveland Hopkins International Airport,41.4117012,-81.84980011,CLE
Clintonville Municipal Airport,44.61380005,-88.73130035,CLI
Clinton Regional Airport,35.53829956,-98.93270111,CLK
Easterwood Field,30.58860016,-96.36380005,CLL
William R Fairchild International Airport,48.12020111,-123.5,CLM
Cliff Hatfield Memorial Airport,33.13150024,-115.5210037,CLR
Chehalis Centralia Airport,46.67699814,-122.9830017,CLS
Charlotte Douglas International Airport,35.2140007,-80.94309998,CLT
Clearwater Air Park,27.97669983,-82.75869751,CLW
Port Columbus International Airport,39.9980011,-82.89189911,CMH
University of Illinois Willard Airport,40.03919983,-88.27809906,CMI
Houghton County Memorial Airport,47.16839981,-88.4890976,CMX
